mask_file,dish_pixels,pathogen_pixels,percent_pathogen_area
Dc - 185-1c_pred.png,8809,3912,44.409127029174705
Dc - 178-3c_pred.png,8760,6640,75.79908675799086
Dc - 100-1a_pred.png,9042,4944,54.678168546781684
Dc - 40-1c_pred.png,9506,5710,60.067325899431935
010_pred.png,9586,5688,59.336532443146254
Dc - 100-1c_pred.png,10574,5994,56.68621146207679
Dc - 191-1a_pred.png,9828,6258,63.675213675213676
Dc - 114-1b_pred.png,8564,4621,53.9584306398879
045_pred.png,9483,6209,65.47506063482021
Dc - 218-1b_pred.png,8914,5570,62.485977114651114
Dc - 23-1b_pred.png,9725,5189,53.3573264781491
Dc - 202-1b_pred.png,9832,4675,47.54882017900732
Dc - 107-1b_pred.png,9012,4413,48.968042609853526
Dc - 28-1b_pred.png,10214,7728,75.66085764636773
Dc - 210-1a_pred.png,8005,2259,28.219862585883824
Dc - 158-1a_pred.png,9583,4758,49.6504226233956
Dc - 125-1a_pred.png,10243,5516,53.85141071951577
Dc - 191-1c_pred.png,9014,4677,51.88595518082982
Dc - 178-2c_pred.png,8751,6669,76.20843332190607
013_pred.png,9469,4816,50.860703347766396
Dc - 188-1b_pred.png,8396,3150,37.51786565030967
015_pred.png,9627,5442,56.528513555624805
Dc - 249-1a_pred.png,9788,5521,56.40580302411116
Dc - 96-1a_pred.png,9236,4497,48.68990905153746
Dc - 20-1c_pred.png,9923,5886,59.31673888944876
Dc - 27-3b_pred.png,8897,5619,63.15612004046308
Dc - 167-1c_pred.png,9514,5539,58.219466050031535
Dc - 32-1c_pred.png,9218,5097,55.293990019527016
Dc - 58-1c_pred.png,8399,4003,47.660435766162635
Dc - 103-1c_pred.png,9525,4391,46.0997375328084
Dc - 26-1c_pred.png,8706,5035,57.83367792327131
Dc - 32-1a_pred.png,8433,4379,51.92695363453101
Dc - 240-1a_pred.png,9052,4027,44.48740609809987
026_pred.png,9293,6476,69.68686107823093
038_pred.png,9142,4675,51.137606650623496
031_pred.png,9032,6590,72.9627989371125
Dc - 54-1a_pred.png,9080,4050,44.60352422907489
Dc - 154-1b_pred.png,9080,4170,45.92511013215859
Dc - 185-1a_pred.png,8571,4395,51.27756387819391
Dc - 40-1a_pred.png,9513,4703,49.43761168926732
Dc - 32-1b_pred.png,9699,5738,59.1607382204351
Dc - 240-1c_pred.png,9417,4616,49.01773388552618
Dc - 61-1a_pred.png,9539,6547,68.63402872418493
Dc - 228-1b_pred.png,9675,5024,51.92764857881137
Dc - 150-1b_pred.png,9584,5318,55.48831385642738
Dc - 218-3c_pred.png,9818,6797,69.22998574047668
Dc - 166-1c_pred.png,9714,5669,58.359069384393656
Dc - 192-1c_pred.png,6343,476,7.504335487939461
