mask_file,dish_pixels,pathogen_pixels,percent_pathogen_area
Dc - 185-1c_pred.png,8159,3505,42.95869591861748
Dc - 178-3c_pred.png,7672,6303,82.15589155370178
Dc - 100-1a_pred.png,8032,4796,59.711155378486055
Dc - 40-1c_pred.png,8270,4741,57.327690447400244
010_pred.png,8636,5216,60.39833256137101
Dc - 100-1c_pred.png,8860,3974,44.853273137697514
Dc - 191-1a_pred.png,8423,5323,63.19601092247418
Dc - 114-1b_pred.png,7766,6107,78.63765130054082
045_pred.png,8405,5364,63.81915526472338
Dc - 218-1b_pred.png,7728,5521,71.44151138716356
Dc - 23-1b_pred.png,8501,4101,48.241383366662745
Dc - 202-1b_pred.png,8454,3161,37.390584338774545
Dc - 107-1b_pred.png,8191,4825,58.90611646929557
Dc - 28-1b_pred.png,9136,6337,69.36295971978984
Dc - 210-1a_pred.png,7580,3093,40.80474934036939
Dc - 158-1a_pred.png,8548,3852,45.06317267197005
Dc - 125-1a_pred.png,8779,4593,52.31803166647682
Dc - 191-1c_pred.png,8261,4157,50.32078440866723
Dc - 178-2c_pred.png,8017,6415,80.01746289135586
013_pred.png,8547,4217,49.33894933894934
Dc - 188-1b_pred.png,7657,2834,37.011884550084886
015_pred.png,8397,4710,56.09146123615577
Dc - 249-1a_pred.png,8634,4606,53.347231873986566
Dc - 96-1a_pred.png,8261,3800,45.99927369567849
Dc - 20-1c_pred.png,8331,5005,60.0768215100228
Dc - 27-3b_pred.png,8509,6098,71.6652955693971
Dc - 167-1c_pred.png,8584,4866,56.68685927306617
Dc - 32-1c_pred.png,7965,4089,51.33709981167608
Dc - 58-1c_pred.png,7946,4135,52.03876164107727
Dc - 103-1c_pred.png,8159,3271,40.09069738938595
Dc - 26-1c_pred.png,8252,5689,68.94086282113427
Dc - 32-1a_pred.png,7948,4148,52.189229994967285
Dc - 240-1a_pred.png,8055,3074,38.16263190564867
026_pred.png,8118,5420,66.76521310667653
038_pred.png,8415,4134,49.12655971479501
031_pred.png,8096,5872,72.5296442687747
Dc - 54-1a_pred.png,8489,3664,43.16173872069737
Dc - 154-1b_pred.png,7964,3519,44.1863385233551
Dc - 185-1a_pred.png,8074,4319,53.492692593510036
Dc - 40-1a_pred.png,8444,4325,51.219801042160114
Dc - 32-1b_pred.png,8406,4518,53.74732334047109
Dc - 240-1c_pred.png,8126,3208,39.478218065468866
Dc - 61-1a_pred.png,8439,5647,66.9155113165067
Dc - 228-1b_pred.png,8831,4586,51.93069867512173
Dc - 150-1b_pred.png,8657,5332,61.591775441838976
Dc - 218-3c_pred.png,8459,5255,62.12318240926823
Dc - 166-1c_pred.png,8567,4491,52.42208474378429
Dc - 192-1c_pred.png,359,359,100.0
008_pred.png,8346,5073,60.783608914450035
001_pred.png,8500,4526,53.247058823529414
018_pred.png,9551,4195,43.9221023976547
030_pred.png,8217,5644,68.68686868686869
Dc - 57-1c_pred.png,8533,5283,61.91257470994961
Dc - 218-2a_pred.png,8315,4765,57.30607336139507
Dc - 235-1c_pred.png,8257,4235,51.289814702676516
003_pred.png,8415,5716,67.92632204396911
Dc - 116-1a_pred.png,8482,4951,58.37066729544919
